total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
641.1849,11.3489,-64.6863,455.5187,239.0036,0.5243,0.5165
236.2756,11.1309,-66.1982,383.6979,-92.3550,0.5257,0.5174
164.8132,11.1633,-66.2275,382.7670,-162.8896,0.5268,0.5175
153.3703,11.1247,-66.2583,382.3536,-173.8497,0.5269,0.5171
149.9462,11.1081,-66.2723,382.0560,-176.9456,0.5273,0.5153
148.4446,11.0873,-66.2730,381.7425,-178.1121,0.5270,0.5168
147.8245,11.0760,-66.2779,381.6128,-178.5864,0.5279,0.5165
147.2839,11.0565,-66.2715,381.2818,-178.7829,0.5283,0.5182
147.3472,11.0546,-66.2763,381.4304,-178.8615,0.5265,0.5171
150.6551,11.0540,-66.2849,384.7779,-178.8918,0.5269,0.5184
150.0284,11.0527,-66.2830,384.1603,-178.9015,0.5270,0.5173
149.7095,11.0489,-66.2821,383.8490,-178.9064,0.5272,0.5175
149.3635,11.0406,-66.2862,383.5179,-178.9088,0.5270,0.5163
151.0232,11.0445,-66.2744,385.1624,-178.9093,0.5244,0.5182
