total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
730.0433,11.4256,-63.0965,479.8279,301.8863,0.5162,0.5071
315.2382,10.8938,-66.1939,388.0110,-17.4726,0.5147,0.5058
193.8062,11.0123,-66.2275,385.7819,-136.7605,0.5155,0.5048
165.5040,11.0158,-66.2468,385.4261,-164.6911,0.5156,0.5061
157.0967,11.0561,-66.2607,385.1312,-172.8299,0.5184,0.5100
153.5951,11.0270,-66.2677,384.7883,-175.9526,0.5197,0.5102
151.9120,11.0055,-66.2786,384.5868,-177.4017,0.5201,0.5108
151.1698,11.0145,-66.2760,384.5638,-178.1325,0.5207,0.5093
150.6121,11.0184,-66.2790,384.3858,-178.5130,0.5210,0.5105
150.1843,10.9832,-66.2910,384.2039,-178.7119,0.5207,0.5109
149.9918,10.9896,-66.2656,384.0871,-178.8193,0.5226,0.5104
149.5903,10.9779,-66.2603,383.7459,-178.8732,0.5249,0.5077
148.8770,10.9875,-66.2633,383.0525,-178.8997,0.5255,0.5104
148.4652,10.9831,-66.2646,382.6600,-178.9133,0.5270,0.5102
