total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
151.9443,12.7706,-253.0585,332.5871,59.6451,0.8387,0.6009
-1066.4571,11.3998,-263.4155,251.0406,-1065.4820,0.8942,0.6040
-1351.5142,11.3288,-265.3328,220.8589,-1318.3690,0.9138,0.5984
-1417.8544,11.2863,-266.1002,203.9475,-1366.9880,0.9228,0.6078
-1440.0981,11.2475,-266.7512,194.4252,-1379.0197,0.9272,0.6014
-1451.6129,11.2132,-267.1212,187.6691,-1383.3739,0.9349,0.6124
-1458.2747,11.1965,-267.3864,183.0981,-1385.1829,0.9365,0.6088
-1461.5908,11.1732,-267.5152,180.7094,-1385.9582,0.9456,0.6136
-1466.3757,11.1614,-267.5928,176.3437,-1386.2881,0.9492,0.6264
-1470.9229,11.1427,-267.5136,171.8745,-1386.4264,0.9566,0.6183
-1476.2298,11.1575,-267.6609,166.7546,-1386.4810,0.9551,0.6368
-1482.3374,11.1594,-267.9425,160.9473,-1386.5015,0.9646,0.6201
-1487.2899,11.1626,-268.2036,156.2593,-1386.5083,0.9662,0.6411
-1492.3222,11.1572,-268.5770,151.6080,-1386.5104,0.9655,0.6291
-1495.8238,11.1592,-268.8295,148.3590,-1386.5124,0.9652,0.6367
-1497.6518,11.1619,-269.1218,146.8219,-1386.5138,0.9632,0.6418
-1496.4357,11.1650,-269.1688,148.0830,-1386.5150,0.9625,0.6477
-1497.3409,11.1602,-269.2205,147.2354,-1386.5160,0.9593,0.6393
-1496.1842,11.1520,-269.4419,148.6227,-1386.5170,0.9592,0.6234
-1496.6187,11.1481,-269.5634,148.3155,-1386.5188,0.9601,0.6333
-1494.4315,11.1339,-269.4689,150.4245,-1386.5210,0.9585,0.6400
-1495.5149,11.1432,-269.5616,149.4239,-1386.5204,0.9554,0.6243
-1494.3958,11.1424,-269.6702,150.6514,-1386.5195,0.9569,0.6295
-1494.6735,11.1420,-269.6299,150.3343,-1386.5200,0.9534,0.6355
-1492.0553,11.1418,-269.7065,153.0293,-1386.5200,0.9524,0.6300
-1490.8102,11.1224,-269.7304,154.3189,-1386.5211,0.9511,0.6277
-1493.9268,11.1119,-269.7998,151.2833,-1386.5221,0.9530,0.6306
-1491.4224,11.1178,-269.8441,153.8263,-1386.5224,0.9502,0.6309
-1488.2722,11.1251,-269.7595,156.8833,-1386.5210,0.9465,0.6344
-1482.6899,11.1209,-269.9763,162.6863,-1386.5208,0.9447,0.6293
-1486.7564,11.1190,-270.0052,158.6511,-1386.5213,0.9451,0.6298
-1484.0647,11.1112,-269.9378,161.2839,-1386.5221,0.9426,0.6352
-1485.2621,11.1153,-270.0439,160.1883,-1386.5218,0.9434,0.6291
-1484.1255,11.1115,-270.0092,161.2941,-1386.5220,0.9414,0.6410
-1483.9843,11.1188,-269.9315,161.3496,-1386.5211,0.9424,0.6308
-1484.4877,11.1114,-269.9483,160.8716,-1386.5224,0.9406,0.6173
-1484.0852,11.1141,-269.9912,161.3128,-1386.5209,0.9367,0.6215
-1483.5954,11.1140,-270.1497,161.9613,-1386.5210,0.9405,0.6199
-1482.9985,11.1309,-270.0318,162.4222,-1386.5198,0.9363,0.6228
-1481.2660,11.1242,-269.9150,164.0451,-1386.5203,0.9351,0.6076
-1483.7211,11.1203,-270.0691,161.7485,-1386.5207,0.9373,0.6289
-1483.8328,11.1069,-270.1303,161.7138,-1386.5232,0.9343,0.6212
-1481.8001,11.1361,-270.0830,163.6668,-1386.5200,0.9291,0.6254
-1481.6371,11.1416,-270.1239,163.8633,-1386.5181,0.9311,0.6313
-1478.9573,11.1433,-270.0531,166.4704,-1386.5179,0.9241,0.6216
-1475.6360,11.1434,-269.9979,169.7355,-1386.5171,0.9248,0.6187
-1476.4195,11.1416,-270.1501,169.1060,-1386.5170,0.9215,0.6189
-1475.5886,11.1277,-270.1391,169.9413,-1386.5186,0.9281,0.6163
-1477.8568,11.1146,-270.1368,167.6850,-1386.5196,0.9294,0.6246
-1479.0294,11.1137,-270.1055,166.4822,-1386.5198,0.9278,0.6183
-1475.4488,11.1251,-270.0954,170.0381,-1386.5165,0.9256,0.6167
-1474.8374,11.1165,-270.0906,170.6555,-1386.5188,0.9256,0.6178
-1471.0086,11.1168,-270.1748,174.5660,-1386.5166,0.9231,0.6154
-1469.1797,11.1122,-270.2425,176.4675,-1386.5170,0.9235,0.6173
-1467.9663,11.1107,-270.1299,177.5708,-1386.5179,0.9246,0.6255
-1470.3567,11.1060,-270.1128,175.1697,-1386.5196,0.9264,0.6211
-1473.6010,11.1122,-270.0659,171.8719,-1386.5192,0.9305,0.6104
-1476.7233,11.1148,-270.1909,168.8718,-1386.5190,0.9308,0.6275
-1476.4204,11.1173,-270.2207,169.2016,-1386.5186,0.9299,0.6195
-1476.0314,11.1058,-270.0441,169.4259,-1386.5189,0.9320,0.6177
-1477.0305,11.1042,-270.1564,168.5393,-1386.5177,0.9307,0.6162
-1478.7691,11.1136,-270.1347,166.7679,-1386.5159,0.9315,0.6117
-1477.8253,11.1250,-270.0706,167.6348,-1386.5146,0.9314,0.6338
-1479.3828,11.1277,-270.1308,166.1335,-1386.5132,0.9319,0.6196
-1478.8437,11.1231,-270.0608,166.6085,-1386.5144,0.9322,0.6067
-1476.7737,11.1167,-270.1494,168.7738,-1386.5148,0.9321,0.6166
-1476.8624,11.1183,-270.1822,168.7159,-1386.5143,0.9311,0.6203
-1475.1427,11.1215,-270.0849,170.3344,-1386.5137,0.9338,0.6166
-1479.8912,11.1161,-270.1764,165.6831,-1386.5140,0.9363,0.6179
-1481.2065,11.1077,-270.1680,164.3688,-1386.5150,0.9356,0.6151
-1477.9440,11.1122,-270.0426,167.5009,-1386.5145,0.9352,0.6186
-1477.9877,11.1184,-270.0322,167.4404,-1386.5143,0.9320,0.6195
-1481.8586,11.1285,-270.1577,163.6832,-1386.5126,0.9322,0.6244
-1478.6140,11.1233,-270.0927,166.8686,-1386.5131,0.9292,0.6089
-1479.8599,11.1210,-270.1256,165.6568,-1386.5122,0.9347,0.6168
-1482.7297,11.1179,-270.2434,162.9076,-1386.5118,0.9350,0.6141
-1481.2236,11.1171,-270.1237,164.2940,-1386.5111,0.9324,0.6202
-1479.6530,11.1182,-270.1415,165.8818,-1386.5115,0.9301,0.6112
-1478.8325,11.1122,-270.0997,166.6672,-1386.5122,0.9338,0.6170
-1483.3544,11.1159,-270.1949,162.2357,-1386.5111,0.9342,0.6175
-1480.8488,11.1128,-270.1042,164.6542,-1386.5116,0.9337,0.6224
-1483.7520,11.1158,-270.0924,161.7363,-1386.5118,0.9361,0.6224
-1484.9193,11.1174,-270.0979,160.5719,-1386.5108,0.9370,0.6231
-1483.1817,11.1148,-270.0555,162.2706,-1386.5117,0.9352,0.6174
