DayofWeek,HourofDay,Parameter
Sunday,0,0.02642524
Monday,0,0.013246578
Tuesday,0,0.009377922
Wednesday,0,0.022592992
Thursday,0,0.01308644
Friday,0,0.029268189
Saturday,0,0.03272125
Sunday,1,0.014922397
Monday,1,0.007685244
Tuesday,1,0.005845988
Wednesday,1,0.013338875
Thursday,1,0.007926529
Friday,1,0.01672506
Saturday,1,0.018514539
Sunday,2,0.007555281
Monday,2,0.003838846
Tuesday,2,0.002661905
Wednesday,2,0.006617523
Thursday,2,0.003628272
Friday,2,0.00866467
Saturday,2,0.009410319
Sunday,3,0.003759731
Monday,3,0.001721258
Tuesday,3,0.001566754
Wednesday,3,0.003238256
Thursday,3,0.001967918
Friday,3,0.00419779
Saturday,3,0.004811046
Sunday,4,0.003796272
Monday,4,0.001813388
Tuesday,4,0.001313391
Wednesday,4,0.003284596
Thursday,4,0.001981575
Friday,4,0.004172278
Saturday,4,0.004650387
Sunday,5,0.003696105
Monday,5,0.001768385
Tuesday,5,0.001365838
Wednesday,5,0.00308925
Thursday,5,0.001976939
Friday,5,0.004180728
Saturday,5,0.004677673
Sunday,6,0.007218287
Monday,6,0.003343975
Tuesday,6,0.002384186
Wednesday,6,0.006416544
Thursday,6,0.003327035
Friday,6,0.008099026
Saturday,6,0.008959658
Sunday,7,0.018035153
Monday,7,0.008961877
Tuesday,7,0.006550142
Wednesday,7,0.016370025
Thursday,7,0.00857248
Friday,7,0.02086717
Saturday,7,0.021869584
Sunday,8,0.029456628
Monday,8,0.014677721
Tuesday,8,0.011100523
Wednesday,8,0.026398175
Thursday,8,0.014704488
Friday,8,0.032974663
Saturday,8,0.036634142
Sunday,9,0.037045537
Monday,9,0.017991643
Tuesday,9,0.013496267
Wednesday,9,0.032093417
Thursday,9,0.01821553
Friday,9,0.04213057
Saturday,9,0.046253553
Sunday,10,0.051011856
Monday,10,0.026182967
Tuesday,10,0.019313305
Wednesday,10,0.045284106
Thursday,10,0.02599373
Friday,10,0.058130174
Saturday,10,0.064618565
Sunday,11,0.044480632
Monday,11,0.022949219
Tuesday,11,0.016671459
Wednesday,11,0.039470725
Thursday,11,0.022127304
Friday,11,0.049448789
Saturday,11,0.055085585
Sunday,12,0.058459352
Monday,12,0.029493949
Tuesday,12,0.022336806
Wednesday,12,0.05116475
Thursday,12,0.029499654
Friday,12,0.067382265
Saturday,12,0.073840214
Sunday,13,0.05908904
Monday,13,0.029228576
Tuesday,13,0.022296193
Wednesday,13,0.051473496
Thursday,13,0.029701068
Friday,13,0.066946054
Saturday,13,0.074277693
Sunday,14,0.051632089
Monday,14,0.025835396
Tuesday,14,0.019045988
Wednesday,14,0.044742801
Thursday,14,0.0264316
Friday,14,0.058943524
Saturday,14,0.065432568
Sunday,15,0.044183008
Monday,15,0.022033826
Tuesday,15,0.016952889
Wednesday,15,0.038649746
Thursday,15,0.021851608
Friday,15,0.049966593
Saturday,15,0.055118699
Sunday,16,0.06014024
Monday,16,0.029794584
Tuesday,16,0.022268611
Wednesday,16,0.05199586
Thursday,16,0.029653309
Friday,16,0.066379191
Saturday,16,0.073639565
Sunday,17,0.044520053
Monday,17,0.022314498
Tuesday,17,0.016917806
Wednesday,17,0.038984665
Thursday,17,0.022380441
Friday,17,0.050222182
Saturday,17,0.055439437
Sunday,18,0.05182865
Monday,18,0.025318473
Tuesday,18,0.019680368
Wednesday,18,0.044796339
Thursday,18,0.026550709
Friday,18,0.058475441
Saturday,18,0.064089141
Sunday,19,0.066184516
Monday,19,0.033180014
Tuesday,19,0.025072626
Wednesday,19,0.057801309
Thursday,19,0.033517289
Friday,19,0.074909545
Saturday,19,0.083476879
Sunday,20,0.073928901
Monday,20,0.036840589
Tuesday,20,0.02734887
Wednesday,20,0.063964974
Thursday,20,0.037294807
Friday,20,0.083701781
Saturday,20,0.092951784
Sunday,21,0.066008063
Monday,21,0.033290058
Tuesday,21,0.024822276
Wednesday,21,0.058474966
Thursday,21,0.033666702
Friday,21,0.07590073
Saturday,21,0.082664372
Sunday,22,0.051899486
Monday,22,0.025521781
Tuesday,22,0.020325814
Wednesday,22,0.045596209
Thursday,22,0.025995596
Friday,22,0.058156809
Saturday,22,0.064711354
Sunday,23,0.036678616
Monday,23,0.018677411
Tuesday,23,0.01383338
Wednesday,23,0.032825373
Thursday,23,0.018124233
Friday,23,0.042413832
Saturday,23,0.04630437
