total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
536.7933,11.3726,-65.3214,583.4937,7.2484,0.5011,0.5019
17.4667,11.2354,-66.2911,266.0290,-193.5065,0.5020,0.4995
7.8254,11.1885,-66.2987,261.8235,-198.8880,0.5024,0.4995
7.0702,11.1664,-66.2968,261.7081,-199.5075,0.5027,0.4993
7.0101,11.1552,-66.3025,261.7458,-199.5885,0.5017,0.4997
7.1831,11.1498,-66.3056,261.9371,-199.5982,0.5013,0.5001
7.1689,11.1500,-66.2992,261.9168,-199.5988,0.5018,0.5022
7.1807,11.1402,-66.2991,261.9404,-199.6008,0.5014,0.4998
7.2555,11.1483,-66.3096,262.0160,-199.5993,0.5003,0.5000
7.2564,11.1410,-66.3096,262.0255,-199.6005,0.5004,0.5000
7.2554,11.1429,-66.3104,262.0228,-199.5999,0.5003,0.5000
7.2570,11.1441,-66.3106,262.0239,-199.6004,0.5003,0.5000
7.2609,11.1451,-66.3104,262.0260,-199.5998,0.5004,0.4999
7.2573,11.1411,-66.3095,262.0261,-199.6003,0.5003,0.5007
7.2553,11.1400,-66.3098,262.0260,-199.6010,0.5003,0.5000
7.2574,11.1420,-66.3099,262.0257,-199.6004,0.5003,0.5000
7.2504,11.1362,-66.3098,262.0256,-199.6017,0.5003,0.5000
7.2573,11.1403,-66.3095,262.0273,-199.6008,0.5003,0.5000
7.2669,11.1480,-66.3104,262.0284,-199.5992,0.5002,0.4998
7.2586,11.1407,-66.3093,262.0279,-199.6006,0.5003,0.4999
7.2574,11.1407,-66.3099,262.0274,-199.6007,0.5004,0.4999
7.2619,11.1426,-66.3106,262.0302,-199.6002,0.5000,0.5000
7.3008,11.1422,-66.3119,262.0709,-199.6004,0.5000,0.5000
7.2919,11.1354,-66.3119,262.0701,-199.6017,0.5000,0.5000
7.3062,11.1441,-66.3118,262.0739,-199.6000,0.5000,0.5000
7.3072,11.1474,-66.3118,262.0709,-199.5993,0.5000,0.5000
7.2974,11.1400,-66.3118,262.0699,-199.6008,0.5000,0.5000
7.3059,11.1443,-66.3117,262.0732,-199.5999,0.5000,0.5000
7.2918,11.1362,-66.3116,262.0687,-199.6016,0.5000,0.5000
7.3013,11.1379,-66.3115,262.0762,-199.6014,0.5000,0.5000
7.3055,11.1431,-66.3114,262.0739,-199.6001,0.5001,0.4999
7.3100,11.1428,-66.3113,262.0787,-199.6003,0.5000,0.5000
7.3057,11.1417,-66.3112,262.0757,-199.6005,0.5000,0.4999
7.3046,11.1388,-66.3112,262.0782,-199.6011,0.5000,0.5000
7.3088,11.1419,-66.3108,262.0781,-199.6004,0.5000,0.5005
7.3085,11.1452,-66.3112,262.0742,-199.5997,0.5000,0.5000
7.3034,11.1388,-66.3110,262.0766,-199.6011,0.5000,0.5000
7.3111,11.1451,-66.3111,262.0768,-199.5997,0.5000,0.5000
7.2986,11.1380,-66.3103,262.0722,-199.6013,0.5000,0.5000
7.3032,11.1412,-66.3106,262.0731,-199.6006,0.5000,0.5000
7.3126,11.1457,-66.3111,262.0776,-199.5997,0.5000,0.5000
7.3050,11.1394,-66.3109,262.0774,-199.6009,0.5000,0.5000
7.3074,11.1416,-66.3108,262.0772,-199.6005,0.5000,0.5000
7.3073,11.1443,-66.3106,262.0736,-199.5999,0.5000,0.5000
7.3007,11.1428,-66.3055,262.0638,-199.6004,0.5000,0.5000
7.3099,11.1448,-66.3118,262.0766,-199.5998,0.5000,0.4997
7.3033,11.1398,-66.3117,262.0761,-199.6009,0.5000,0.5000
7.3025,11.1426,-66.3117,262.0718,-199.6002,0.5000,0.5000
7.3076,11.1427,-66.3116,262.0768,-199.6003,0.5000,0.5000
7.3084,11.1431,-66.3116,262.0770,-199.6001,0.5000,0.5000
7.3025,11.1371,-66.3114,262.0781,-199.6014,0.5000,0.5000
7.3092,11.1433,-66.3112,262.0772,-199.6001,0.5000,0.5000
7.3094,11.1443,-66.3113,262.0765,-199.6000,0.5000,0.5007
7.3130,11.1444,-66.3109,262.0796,-199.6000,0.5000,0.5000
7.3120,11.1457,-66.3108,262.0768,-199.5997,0.5000,0.5000
7.3060,11.1423,-66.3112,262.0754,-199.6004,0.5000,0.5000
7.3059,11.1414,-66.3111,262.0761,-199.6005,0.5000,0.4999
7.3067,11.1420,-66.3108,262.0757,-199.6003,0.5000,0.5000
7.3074,11.1438,-66.3108,262.0744,-199.6001,0.5000,0.5000
7.2968,11.1371,-66.3110,262.0721,-199.6014,0.5000,0.5000
7.3068,11.1392,-66.3110,262.0796,-199.6010,0.5000,0.5000
