total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
472.4057,17.2593,-347.9966,26.1521,776.9908,0.5510,0.5647
485.0471,17.2387,-335.2938,26.1114,776.9908,0.5237,0.5292
499.2581,17.2336,-321.0738,26.1075,776.9908,0.5460,0.5548
493.3563,17.2392,-326.9865,26.1128,776.9908,0.4847,0.4708
506.0885,17.2204,-314.2463,26.1236,776.9908,0.5295,0.5255
509.8596,17.2328,-310.4711,26.1071,776.9908,0.5364,0.5368
491.5224,17.2494,-328.8294,26.1115,776.9908,0.5471,0.5425
509.9800,17.2187,-310.3378,26.1083,776.9908,0.5321,0.5422
508.2578,17.1909,-312.0513,26.1274,776.9908,0.5153,0.5202
487.6245,17.2287,-332.6979,26.1029,776.9908,0.5240,0.5223
